survey_id,subject_id,indicator_id,value,answer,answer_text
2017,all,assets,5008,,
2018,all,assets,5829,,
2017,all,assets_machinereadable,4407,,
2018,all,assets_machinereadable,5071,,
2017,all,assets_nzgoal,4056,,
2018,all,assets_nzgoal,4896,,
2017,all,fa1,48,,
2018,all,fa1,47,,
2017,all,fa2,12,,
2018,all,fa2,10,,
2017,all,fa3,53,,
2018,all,fa3,54,,
2017,all,fa4,41,,
2018,all,fa4,28,,
2017,all,fa5,12,,
2018,all,fa5,22,,
2017,all,fa6,31,,
2018,all,fa6,35,,
2017,all,q02,90,yes,Have
2017,all,q02,10,no,Have not
2018,all,q03,68.4,download,Files for download on agency website
2018,all,q03,39.5,api,We use API
2018,all,q04,13.2,data_govt,data.govt
2018,all,q04,5.3,koordinates,Koordinates
2018,all,q04,0,amazon,Amazon
2018,all,q04,0,qlik,Qlik
2018,all,q04,0,tableau,Tableau
2018,all,q04,21.1,esri,ESRI
2018,all,q05,5.3,proprietary,Proprietary API
2018,all,q05,28.9,open,Open standard API
2017,all,q14,38,yes,Have
2017,all,q14,21,developing,Under development
2017,all,q14,34,like_to,Would like to
2017,all,q14,7,not_warranted,Not warranted
2018,all,q15,74,yes,Do
2018,all,q15,26,no,Do not
2018,all,q16,69,yes,Do
2018,all,q16,31,no,Do not
2017,all,q19,14,yes,Have
2017,all,q19,86,no,Have not
2018,all,q19,5,yes,Do
2018,all,q19,74,no,Do not
2018,all,q19,21,developing,Under development
2017,all,q23,24,yes,Have
2017,all,q23,36,not_sure,Are not sure
2017,all,q23,36,no,Have not
2017,all,q26,72,yes,Work with others
2017,all,q26,14,not_sure,Are not sure
2017,all,q26,14,no,Do not
2017,all,q28,38,yes,Have
2017,all,q28,31,not_sure,Are not sure
2017,all,q28,31,no,Have not
2017,all,q30,3,yes,Track
2017,all,q30,43,not_sure,Are not sure
2017,all,q30,43,no,Do not track
2017,all,q33,28,yes,Tailor
2017,all,q33,36,not_sure,Are not sure
2017,all,q33,36,no,Do not tailor
2018,all,q33,36,yes,Do
2018,all,q33,38,no,Do not
2018,all,q33,26,not_sure,Not sure
2018,all,q34,59,yes,Do
2018,all,q34,41,no,Do not
2017,all,q36,24,yes,Have
2017,all,q36,41,developing,Under development
2017,all,q36,31,like_to,Would like to
2017,all,q36,3,not_warranted,Not warranted
